time,vehid,x,y,z,speed
0.00,veh0,0.00,0.00,1.50,20.00
0.00,veh1,-50.00,0.00,1.50,22.00
1.00,veh0,20.00,0.00,1.50,20.00
1.00,veh1,-28.00,0.00,1.50,22.00
2.00,veh0,40.00,0.00,1.50,20.00
2.00,veh1,-6.00,0.00,1.50,22.00
3.00,veh0,60.00,0.00,1.50,20.00
3.00,veh1,16.00,0.00,1.50,22.00
4.00,veh0,80.00,0.00,1.50,20.00
4.00,veh1,38.00,0.00,1.50,22.00
5.00,veh0,100.00,0.00,1.50,20.00
5.00,veh1,60.00,0.00,1.50,22.00
6.00,veh0,120.00,0.00,1.50,20.00
6.00,veh1,82.00,0.00,1.50,22.00
7.00,veh0,140.00,0.00,1.50,20.00
7.00,veh1,104.00,0.00,1.50,22.00
8.00,veh0,160.00,0.00,1.50,20.00
8.00,veh1,126.00,0.00,1.50,22.00
9.00,veh0,180.00,0.00,1.50,20.00
9.00,veh1,148.00,0.00,1.50,22.00
10.00,veh0,200.00,0.00,1.50,20.00
10.00,veh1,170.00,0.00,1.50,22.00
11.00,veh0,220.00,0.00,1.50,20.00
11.00,veh1,192.00,0.00,1.50,22.00
12.00,veh0,240.00,0.00,1.50,20.00
12.00,veh1,214.00,0.00,1.50,22.00
13.00,veh0,260.00,0.00,1.50,20.00
13.00,veh1,236.00,0.00,1.50,22.00
14.00,veh0,280.00,0.00,1.50,20.00
14.00,veh1,258.00,0.00,1.50,22.00
15.00,veh0,300.00,0.00,1.50,20.00
15.00,veh1,280.00,0.00,1.50,22.00
16.00,veh0,320.00,0.00,1.50,20.00
16.00,veh1,302.00,0.00,1.50,22.00
17.00,veh0,340.00,0.00,1.50,20.00
17.00,veh1,324.00,0.00,1.50,22.00
18.00,veh0,360.00,0.00,1.50,20.00
18.00,veh1,346.00,0.00,1.50,22.00
19.00,veh0,380.00,0.00,1.50,20.00
19.00,veh1,368.00,0.00,1.50,22.00
20.00,veh0,400.00,0.00,1.50,20.00
20.00,veh1,390.00,0.00,1.50,22.00
21.00,veh0,420.00,0.00,1.50,20.00
21.00,veh1,412.00,0.00,1.50,22.00
22.00,veh0,440.00,0.00,1.50,20.00
22.00,veh1,434.00,0.00,1.50,22.00
23.00,veh0,460.00,0.00,1.50,20.00
23.00,veh1,456.00,0.00,1.50,22.00
24.00,veh0,480.00,0.00,1.50,20.00
24.00,veh1,478.00,0.00,1.50,22.00
25.00,veh0,500.00,0.00,1.50,20.00
25.00,veh1,500.00,0.00,1.50,22.00
26.00,veh0,520.00,0.00,1.50,20.00
26.00,veh1,522.00,0.00,1.50,22.00
27.00,veh0,540.00,0.00,1.50,20.00
27.00,veh1,544.00,0.00,1.50,22.00
28.00,veh0,560.00,0.00,1.50,20.00
28.00,veh1,566.00,0.00,1.50,22.00
29.00,veh0,580.00,0.00,1.50,20.00
29.00,veh1,588.00,0.00,1.50,22.00
30.00,veh0,600.00,0.00,1.50,20.00
30.00,veh1,610.00,0.00,1.50,22.00
31.00,veh0,620.00,0.00,1.50,20.00
31.00,veh1,632.00,0.00,1.50,22.00
32.00,veh0,640.00,0.00,1.50,20.00
32.00,veh1,654.00,0.00,1.50,22.00
33.00,veh0,660.00,0.00,1.50,20.00
33.00,veh1,676.00,0.00,1.50,22.00
34.00,veh0,680.00,0.00,1.50,20.00
34.00,veh1,698.00,0.00,1.50,22.00
35.00,veh0,700.00,0.00,1.50,20.00
35.00,veh1,720.00,0.00,1.50,22.00
36.00,veh0,720.00,0.00,1.50,20.00
36.00,veh1,742.00,0.00,1.50,22.00
37.00,veh0,740.00,0.00,1.50,20.00
37.00,veh1,764.00,0.00,1.50,22.00
38.00,veh0,760.00,0.00,1.50,20.00
38.00,veh1,786.00,0.00,1.50,22.00
39.00,veh0,780.00,0.00,1.50,20.00
39.00,veh1,808.00,0.00,1.50,22.00
40.00,veh0,800.00,0.00,1.50,20.00
40.00,veh1,830.00,0.00,1.50,22.00
41.00,veh0,820.00,0.00,1.50,20.00
41.00,veh1,852.00,0.00,1.50,22.00
42.00,veh0,840.00,0.00,1.50,20.00
42.00,veh1,874.00,0.00,1.50,22.00
43.00,veh0,860.00,0.00,1.50,20.00
43.00,veh1,896.00,0.00,1.50,22.00
44.00,veh0,880.00,0.00,1.50,20.00
44.00,veh1,918.00,0.00,1.50,22.00
45.00,veh0,900.00,0.00,1.50,20.00
45.00,veh1,940.00,0.00,1.50,22.00
46.00,veh0,920.00,0.00,1.50,20.00
46.00,veh1,962.00,0.00,1.50,22.00
47.00,veh0,940.00,0.00,1.50,20.00
47.00,veh1,984.00,0.00,1.50,22.00
48.00,veh0,960.00,0.00,1.50,20.00
48.00,veh1,1006.00,0.00,1.50,22.00
49.00,veh0,980.00,0.00,1.50,20.00
49.00,veh1,1028.00,0.00,1.50,22.00
50.00,veh0,1000.00,0.00,1.50,20.00
50.00,veh1,1050.00,0.00,1.50,22.00
51.00,veh0,1020.00,0.00,1.50,20.00
51.00,veh1,1072.00,0.00,1.50,22.00
52.00,veh0,1040.00,0.00,1.50,20.00
52.00,veh1,1094.00,0.00,1.50,22.00
53.00,veh0,1060.00,0.00,1.50,20.00
53.00,veh1,1116.00,0.00,1.50,22.00
54.00,veh0,1080.00,0.00,1.50,20.00
54.00,veh1,1138.00,0.00,1.50,22.00
55.00,veh0,1100.00,0.00,1.50,20.00
55.00,veh1,1160.00,0.00,1.50,22.00
56.00,veh0,1120.00,0.00,1.50,20.00
56.00,veh1,1182.00,0.00,1.50,22.00
57.00,veh0,1140.00,0.00,1.50,20.00
57.00,veh1,1204.00,0.00,1.50,22.00
58.00,veh0,1160.00,0.00,1.50,20.00
58.00,veh1,1226.00,0.00,1.50,22.00
59.00,veh0,1180.00,0.00,1.50,20.00
59.00,veh1,1248.00,0.00,1.50,22.00
60.00,veh0,1200.00,0.00,1.50,20.00
60.00,veh1,1270.00,0.00,1.50,22.00
