time,vehid,x,y,z,speed
0.00,veh0,0.00,0.00,0.50,18.00
0.00,veh1,-750.00,3.50,0.50,18.25
0.00,veh2,-1500.00,0.00,0.50,18.50
0.00,veh3,-2250.00,3.50,0.50,18.75
0.00,veh4,-3000.00,0.00,0.50,19.00
0.00,veh5,-3750.00,3.50,0.50,19.25
0.00,veh6,-4500.00,0.00,0.50,19.50
0.00,veh7,-5250.00,3.50,0.50,19.75
0.00,veh8,-6000.00,0.00,0.50,20.00
0.00,veh9,-6750.00,3.50,0.50,20.25
0.00,veh10,-7500.00,0.00,0.50,20.50
0.00,veh11,-8250.00,3.50,0.50,20.75
0.00,veh12,-9000.00,0.00,0.50,21.00
0.00,veh13,-9750.00,3.50,0.50,21.25
0.00,veh14,-10500.00,0.00,0.50,21.50
0.00,veh15,-11250.00,3.50,0.50,21.75
0.00,veh16,-12000.00,0.00,0.50,22.00
0.00,veh17,-12750.00,3.50,0.50,22.25
0.00,veh18,-13500.00,0.00,0.50,22.50
0.00,veh19,-14250.00,3.50,0.50,22.75
0.00,veh20,-15000.00,0.00,0.50,23.00
0.00,veh21,-15750.00,3.50,0.50,23.25
0.00,veh22,-16500.00,0.00,0.50,23.50
0.00,veh23,-17250.00,3.50,0.50,23.75
0.00,veh24,-18000.00,0.00,0.50,24.00
0.00,veh25,-18750.00,3.50,0.50,24.25
0.00,veh26,-19500.00,0.00,0.50,24.50
0.00,veh27,-20250.00,3.50,0.50,24.75
0.00,veh28,-21000.00,0.00,0.50,25.00
0.00,veh29,-21750.00,3.50,0.50,25.25
0.00,veh30,-22500.00,0.00,0.50,25.50
0.00,veh31,-23250.00,3.50,0.50,25.75
0.00,veh32,-24000.00,0.00,0.50,26.00
0.00,veh33,-24750.00,3.50,0.50,26.25
0.00,veh34,-25500.00,0.00,0.50,26.50
0.00,veh35,-26250.00,3.50,0.50,26.75
0.00,veh36,-27000.00,0.00,0.50,27.00
0.00,veh37,-27750.00,3.50,0.50,27.25
0.00,veh38,-28500.00,0.00,0.50,27.50
0.00,veh39,-29250.00,3.50,0.50,27.75
1.00,veh0,18.00,0.00,0.50,18.00
1.00,veh1,-731.75,3.50,0.50,18.25
1.00,veh2,-1481.50,0.00,0.50,18.50
1.00,veh3,-2231.25,3.50,0.50,18.75
1.00,veh4,-2981.00,0.00,0.50,19.00
1.00,veh5,-3730.75,3.50,0.50,19.25
1.00,veh6,-4480.50,0.00,0.50,19.50
1.00,veh7,-5230.25,3.50,0.50,19.75
1.00,veh8,-5980.00,0.00,0.50,20.00
1.00,veh9,-6729.75,3.50,0.50,20.25
1.00,veh10,-7479.50,0.00,0.50,20.50
1.00,veh11,-8229.25,3.50,0.50,20.75
1.00,veh12,-8979.00,0.00,0.50,21.00
1.00,veh13,-9728.75,3.50,0.50,21.25
1.00,veh14,-10478.50,0.00,0.50,21.50
1.00,veh15,-11228.25,3.50,0.50,21.75
1.00,veh16,-11978.00,0.00,0.50,22.00
1.00,veh17,-12727.75,3.50,0.50,22.25
1.00,veh18,-13477.50,0.00,0.50,22.50
1.00,veh19,-14227.25,3.50,0.50,22.75
1.00,veh20,-14977.00,0.00,0.50,23.00
1.00,veh21,-15726.75,3.50,0.50,23.25
1.00,veh22,-16476.50,0.00,0.50,23.50
1.00,veh23,-17226.25,3.50,0.50,23.75
1.00,veh24,-17976.00,0.00,0.50,24.00
1.00,veh25,-18725.75,3.50,0.50,24.25
1.00,veh26,-19475.50,0.00,0.50,24.50
1.00,veh27,-20225.25,3.50,0.50,24.75
1.00,veh28,-20975.00,0.00,0.50,25.00
1.00,veh29,-21724.75,3.50,0.50,25.25
1.00,veh30,-22474.50,0.00,0.50,25.50
1.00,veh31,-23224.25,3.50,0.50,25.75
1.00,veh32,-23974.00,0.00,0.50,26.00
1.00,veh33,-24723.75,3.50,0.50,26.25
1.00,veh34,-25473.50,0.00,0.50,26.50
1.00,veh35,-26223.25,3.50,0.50,26.75
1.00,veh36,-26973.00,0.00,0.50,27.00
1.00,veh37,-27722.75,3.50,0.50,27.25
1.00,veh38,-28472.50,0.00,0.50,27.50
1.00,veh39,-29222.25,3.50,0.50,27.75
2.00,veh0,36.00,0.00,0.50,18.00
2.00,veh1,-713.50,3.50,0.50,18.25
2.00,veh2,-1463.00,0.00,0.50,18.50
2.00,veh3,-2212.50,3.50,0.50,18.75
2.00,veh4,-2962.00,0.00,0.50,19.00
2.00,veh5,-3711.50,3.50,0.50,19.25
2.00,veh6,-4461.00,0.00,0.50,19.50
2.00,veh7,-5210.50,3.50,0.50,19.75
2.00,veh8,-5960.00,0.00,0.50,20.00
2.00,veh9,-6709.50,3.50,0.50,20.25
2.00,veh10,-7459.00,0.00,0.50,20.50
2.00,veh11,-8208.50,3.50,0.50,20.75
2.00,veh12,-8958.00,0.00,0.50,21.00
2.00,veh13,-9707.50,3.50,0.50,21.25
2.00,veh14,-10457.00,0.00,0.50,21.50
2.00,veh15,-11206.50,3.50,0.50,21.75
2.00,veh16,-11956.00,0.00,0.50,22.00
2.00,veh17,-12705.50,3.50,0.50,22.25
2.00,veh18,-13455.00,0.00,0.50,22.50
2.00,veh19,-14204.50,3.50,0.50,22.75
2.00,veh20,-14954.00,0.00,0.50,23.00
